FIPS_ST_CN,Name,State,Population,Unemployment,Uninsured
48001,Anderson,TX,59120,3.3,14.1
48003,Andrews,TX,19588,4.7,18.2
48005,Angelina,TX,90669,7.9,19.2
48007,Aransas,TX,23649,6.6,20.5
48009,Archer,TX,9135,3.5,11.4
48011,Armstrong,TX,2028,0.9,7.6
48013,Atascosa,TX,51233,8.1,15.8
48015,Austin,TX,32344,4.7,12.1
48017,Bailey,TX,7082,2.2,20.6
48019,Bandera,TX,23360,6.2,17.7
48021,Bastrop,TX,90262,6.7,16.3
48023,Baylor,TX,3754,2.4,13.1
48025,Bee,TX,33571,8.9,20
48027,Bell,TX,362093,7.7,11.8
48029,Bexar,TX,2006193,5.8,15.1
48031,Blanco,TX,12365,5.7,18
48033,Borden,TX,686,2.1,4.7
48035,Bosque,TX,19146,4.5,17.9
48037,Bowie,TX,95897,6.6,14.5
48039,Brazoria,TX,382874,4.7,13.4
48041,Brazos,TX,233071,4.4,13.1
48043,Brewster,TX,9055,4.4,16.8
48045,Briscoe,TX,1599,5.5,21.9
48047,Brooks,TX,7060,14.6,21.9
48049,Brown,TX,38874,4,13.7
48051,Burleson,TX,18361,6.1,16.7
48053,Burnet,TX,49225,4.5,15.2
48055,Caldwell,TX,43501,2.7,21.3
48057,Calhoun,TX,22058,7.2,19
48059,Callahan,TX,14027,3.3,18.5
48061,Cameron,TX,426144,6.6,28.6
48063,Camp,TX,12936,6.2,16.6
48065,Carson,TX,5875,2.3,11.4
48067,Cass,TX,30243,7.2,15.4
48069,Castro,TX,7260,2.1,26.1
48071,Chambers,TX,44944,6.1,14.3
48073,Cherokee,TX,53558,5.4,18.8
48075,Childress,TX,7052,11,17.1
48077,Clay,TX,10317,6.9,13.9
48079,Cochran,TX,2890,6.4,28
48081,Coke,TX,3400,3.2,13
48083,Coleman,TX,8041,3.3,23
48085,Collin,TX,1047901,3.9,10.4
48087,Collingsworth,TX,2802,8.6,22.6
48089,Colorado,TX,22566,3.5,13.6
48091,Comal,TX,161328,3.7,12.3
48093,Comanche,TX,13848,3,18.1
48095,Concho,TX,2715,1.2,17.1
48097,Cooke,TX,40685,5,14.9
48099,Coryell,TX,75657,9.2,9.9
48101,Cottle,TX,1346,8.5,13.6
48103,Crane,TX,4670,1.3,16.1
48105,Crockett,TX,3465,0,15.2
48107,Crosby,TX,5658,7.3,20.4
48109,Culberson,TX,2228,6.5,20.7
48111,Dallam,TX,6929,3.9,24.9
48113,Dallas,TX,2647627,5.2,21
48115,Dawson,TX,12652,5.5,15.4
48117,Deaf Smith,TX,19572,4.6,20.4
48119,Delta,TX,5304,5.3,15.2
48121,Denton,TX,904005,4.2,11.5
48123,De Witt,TX,20459,6.3,13
48125,Dickens,TX,2054,15.5,18.8
48127,Dimmit,TX,9426,16.4,22.2
48129,Donley,TX,3170,2.2,15.4
48131,Duval,TX,10860,10.6,24.5
48133,Eastland,TX,18278,5.2,16.2
48135,Ector,TX,169394,6.7,21.5
48137,Edwards,TX,1979,4.1,12.3
48139,Ellis,TX,191469,3.6,15.2
48141,El Paso,TX,851888,6.6,20.7
