County Name,Region
Anderson,East Texas
Andrews,West Texas
Angelina,East Texas
Aransas,South Texas
Archer,North Texas
Armstrong,Panhandle
Atascosa,South Texas
Austin,Upper Gulf Coast
Bailey,West Texas
Bandera,South Texas
Bastrop,Central Texas
Baylor,North Texas
Bee,South Texas
Bell,Central Texas
Bexar,South Texas
Blanco,Central Texas
Borden,West Texas
Bosque,Central Texas
Bowie,East Texas
Brazoria,Upper Gulf Coast
Brazos,Central Texas
Brewster,West Texas
Briscoe,Panhandle
Brooks,South Texas
Brown,West Texas
Burleson,Central Texas
Burnet,Central Texas
Caldwell,Central Texas
Calhoun,South Texas
Callahan,West Texas
Cameron,South Texas
Camp,East Texas
Carson,Panhandle
Cass,East Texas
Castro,Panhandle
Chambers,Upper Gulf Coast
Cherokee,East Texas
Childress,Panhandle
Clay,North Texas
Cochran,West Texas
Coke,West Texas
Coleman,West Texas
Collin,North Texas
Collingsworth,Panhandle
Colorado,Upper Gulf Coast
Comal,South Texas
Comanche,West Texas
Concho,West Texas
Cooke,North Texas
Coryell,Central Texas
Cottle,North Texas
Crane,West Texas
Crockett,West Texas
Crosby,West Texas
Culberson,West Texas
Dallam,Panhandle
Dallas,North Texas
Dawson,West Texas
Deaf Smith,Panhandle
Delta,East Texas
Denton,North Texas
De Witt,South Texas
Dickens,West Texas
Dimmit,South Texas
Donley,Panhandle
Duval,South Texas
Eastland,West Texas
Ector,West Texas
Edwards,South Texas
Ellis,North Texas
El Paso,West Texas
Erath,North Texas
Falls,Central Texas
Fannin,North Texas
Fayette,Central Texas
Fisher,West Texas
Floyd,West Texas
Foard,North Texas
Fort Bend,Upper Gulf Coast
Franklin,East Texas
Freestone,Central Texas
Frio,South Texas
Gaines,West Texas
Galveston,Upper Gulf Coast
Garza,West Texas
Gillespie,South Texas
Glasscock,West Texas
Goliad,South Texas
Gonzales,South Texas
Gray,Panhandle
Grayson,North Texas
Gregg,East Texas
Grimes,Central Texas
Guadalupe,South Texas
Hale,West Texas
Hall,Panhandle
Hamilton,Central Texas
Hansford,Panhandle
Hardeman,North Texas
Hardin,East Texas
Harris,Upper Gulf Coast
Harrison,East Texas
Hartley,Panhandle
Haskell,West Texas
Hays,Central Texas
Hemphill,Panhandle
Henderson,East Texas
Hidalgo,South Texas
Hill,Central Texas
Hockley,West Texas
Hood,North Texas
Hopkins,East Texas
Houston,East Texas
Howard,West Texas
Hudspeth,West Texas
Hunt,North Texas
Hutchinson,Panhandle
Irion,West Texas
Jack,North Texas
Jackson,South Texas
Jasper,East Texas
Jeff Davis,West Texas
Jefferson,East Texas
Jim Hogg,South Texas
Jim Wells,South Texas
Johnson,North Texas
Jones,West Texas
Karnes,South Texas
Kaufman,North Texas
Kendall,South Texas
Kenedy,South Texas
Kent,West Texas
Kerr,South Texas
Kimble,West Texas
King,West Texas
Kinney,South Texas
Kleberg,South Texas
Knox,West Texas
Lamar,East Texas
Lamb,West Texas
Lampasas,Central Texas
La Salle,South Texas
Lavaca,South Texas
Lee,Central Texas
Leon,Central Texas
Liberty,Upper Gulf Coast
Limestone,Central Texas
Lipscomb,Panhandle
Live Oak,South Texas
Llano,Central Texas
Loving,West Texas
Lubbock,West Texas
Lynn,West Texas
McCulloch,West Texas
McLennan,Central Texas
McMullen,South Texas
Madison,Central Texas
Marion,East Texas
Martin,West Texas
Mason,West Texas
Matagorda,Upper Gulf Coast
Maverick,South Texas
Medina,South Texas
Menard,West Texas
Midland,West Texas
Milam,Central Texas
Mills,Central Texas
Mitchell,West Texas
Montague,North Texas
Montgomery,Upper Gulf Coast
Moore,Panhandle
Morris,East Texas
Motley,West Texas
Nacogdoches,East Texas
Navarro,North Texas
Newton,East Texas
Nolan,West Texas
Nueces,South Texas
Ochiltree,Panhandle
Oldham,Panhandle
Orange,East Texas
Palo Pinto,North Texas
Panola,East Texas
Parker,North Texas
Parmer,Panhandle
Pecos,West Texas
Polk,East Texas
Potter,Panhandle
Presidio,West Texas
Rains,East Texas
Randall,Panhandle
Reagan,West Texas
Real,South Texas
Red River,East Texas
Reeves,West Texas
Refugio,South Texas
Roberts,Panhandle
Robertson,Central Texas
Rockwall,North Texas
Runnels,West Texas
Rusk,East Texas
Sabine,East Texas
San Augustine,East Texas
San Jacinto,East Texas
San Patricio,South Texas
San Saba,Central Texas
Schleicher,West Texas
Scurry,West Texas
Shackelford,West Texas
Shelby,East Texas
Sherman,Panhandle
Smith,East Texas
Somervell,North Texas
Starr,South Texas
Stephens,West Texas
Sterling,West Texas
Stonewall,West Texas
Sutton,West Texas
Swisher,Panhandle
Tarrant,North Texas
Taylor,West Texas
Terrell,West Texas
Terry,West Texas
Throckmorton,West Texas
Titus,East Texas
Tom Green,West Texas
Travis,Central Texas
Trinity,East Texas
Tyler,East Texas
Upshur,East Texas
Upton,West Texas
Uvalde,South Texas
Val Verde,South Texas
Van Zandt,East Texas
Victoria,South Texas
Walker,Upper Gulf Coast
Waller,Upper Gulf Coast
Ward,West Texas
Washington,Central Texas
Webb,South Texas
Wharton,Upper Gulf Coast
Wheeler,Panhandle
Wichita,North Texas
Wilbarger,North Texas
Willacy,South Texas
Williamson,Central Texas
Wilson,South Texas
Winkler,West Texas
Wise,North Texas
Wood,East Texas
Yoakum,West Texas
Young,North Texas
Zapata,South Texas
Zavala,South Texas
